"","x"
"167","Rich Lowry: Don't Talk to Mueller, Mr. President — The Patriot Post @presssec @whitehouse https://t.co/fSuoSB9PfE"
"168","@politico I have a tendency to believe what is written in the Washington Post more than what comes out of the Whitehouse"
"169","@MarijaM00660012 @CarlaOrtizO @KateKizer @statedeptspox @StateDept @realDonaldTrump @WhiteHouse Thank you  Maragram… https://t.co/SvSA6T55xh"
"170","@mpg25mary @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT Thank you. I’ve worked hard for my successes. My c… https://t.co/482QbrriEo"
"171","Thank you for 401k, pension, retirement &amp;amp; preparedness tips. Listened to end of the @POTUS, @WhiteHouse, and US… https://t.co/laTd1SpQDq"
"172","@michellemalkin @seanhannity “Harmless &amp; silly” apology? Making fun of the First LADY’S accent, reading to CHILDREN on the Whitehouse Lawn<ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
"173","@realDonaldTrump @POTUS @WhiteHouse  Donald Dumpster is an idiot.  China’s leader is not his “friend”.  Xi’s goal i… https://t.co/IjIArC84aD"
"174","@WhiteHouse And as usual, he embarrassed the country"
"175","@Banks_Todd @JeffreyGuterman @WhiteHouse @SecretService Looks like the coward ""protected"" his account... I wonder why."
"176","@t0lerantparad0x @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/CaduiwUZXC"
"177","@scodogno @McAndrewRants @madasednam @goodbye56789 @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill Hail… https://t.co/d1JjkhsaG8"
"178","@MillennialStorm @t0lerantparad0x @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/KUpzgjLnDB"
"179","@realDonaldTrump The Weasel in the Whitehouse is such a lowlife he lobbied against mandatory sprinklers in his Trum… https://t.co/hM0n0j2D5r"
"180","https://t.co/RQoU0hkTN2"
"181","Comey book set to turn up heat on Trump @realDonaldTrump @IvankaTrump @WhiteHouse #ProtectMueller #BlueTsunami2018  https://t.co/SVd5Zfch4a"
"182","@westmorerland @AD_WHITMAN @DonDonsmith007 @TiffanyATrump @WhiteHouse @MichelleObama @POTUS @realDonaldTrump @VP… https://t.co/90HRd8PnCI"
"183","@NoticiasCaracol @ABC @usarmy @usaairforce @GobiernoUSA @WhiteHouse @BBCBreaking @bbcmundo @euronewses @tve_tve… https://t.co/heCzDrXYCf"
"184",".@SenJohnKennedy while I don't always concur with your perspective, I would like to thank you for your straightforw… https://t.co/JurPH03e6Q"
"185","@NoticiasCaracol @ABC @usarmy @usaairforce @GobiernoUSA @WhiteHouse @BBCBreaking @bbcmundo @euronewses @tve_tve… https://t.co/yPKetNtaaY"
"186","LORD God, fortify all who read &amp; heed, public, friends &amp; family +Amen @POTUS @realDonaldTrump @WhiteHouse @PressSec… https://t.co/fUqYUsesAs"
"187","@realDonaldTrump #PUTIN, whom you admire, the criminal monster who helped you steal the Oval, FINANCED and helped t… https://t.co/fSwb5tdGRC"
"188","@goodbye56789 @RenascenseDaily @McAndrewRants @madasednam @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP… https://t.co/bTAIfDGOIH"
"189","Or here! https://t.co/85EZRwm72B"
"190","Whitehouse and Frecklington hail fans: <U+25B6> https://t.co/kPOYivf3Lx   #Shrewsbury"
"191","939 Days - 15 Hours until we can #vote #Trump
out of office and fix the #whitehouse."
"192","@ltgrusselhonore @WhiteHouse @EPAScottPruitt He wouldn’t anyway, he’s against everything the EPA stands for! He’s u… https://t.co/wnQrHSSn8v"
"193","@SerenasSong @VicenteFoxQue @POTUS @realDonaldTrump @GOP @NRA @EricTrump @DonaldJTrumpJr @IvankaTrump @WhiteHouse… https://t.co/1MkXuFQwtg"
"194","@t0lerantparad0x @MillennialStorm @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/Oe6RpnJ06u"
"195","@KTHopkins @realDonaldTrump @YouTube Funny how every time the Syrian govt has the rebels on their last legs that th… https://t.co/UFyW3a2EYr"
